Date,Open,High,Low,Close,Adj Close,Volume
2023-08-11,1289.5,1297.0,1285.0,1289.5,1269.34912109375,1309416
2023-08-14,1289.5,1299.5,1287.0,1289.0,1268.85693359375,880480
2023-08-15,1289.5,1293.0,1269.0,1273.5,1253.59912109375,655859
2023-08-16,1273.5,1289.5,1272.0,1278.5,1258.52099609375,904618
2023-08-17,1270.5,1287.0,1269.5,1271.0,1251.13818359375,765568
2023-08-18,1267.5,1274.5,1253.0,1260.5,1240.80224609375,1073477
2023-08-21,1256.0,1272.5,1256.0,1266.5,1246.70849609375,920651
2023-08-22,1265.5,1286.0,1259.5,1277.0,1257.04443359375,3260570
2023-08-23,1280.0,1292.0,1273.5,1280.0,1259.99755859375,830348
2023-08-24,1288.5,1288.5,1253.5,1257.0,1257.0,550817
2023-08-25,1259.5,1279.0,1257.5,1267.0,1267.0,1103772
2023-08-29,1283.0,1308.5760498046875,1283.0,1308.5,1308.5,1215303
2023-08-30,1312.0,1328.5,1311.0,1317.0,1317.0,2164814
2023-08-31,1316.5,1331.0,1314.0,1314.0,1314.0,2545078
2023-09-01,1317.0,1324.5,1307.5,1313.5,1313.5,1239987
2023-09-04,1322.0,1325.5,1306.5,1307.5,1307.5,401743
2023-09-05,1298.0,1310.5,1294.5,1298.5,1298.5,1379164
2023-09-06,1289.0,1301.5,1283.0,1296.0,1296.0,922592
2023-09-07,1289.5,1331.5,1289.5,1308.0,1308.0,1753281
2023-09-08,1309.5,1311.5,1285.0,1291.5,1291.5,1368396
2023-09-11,1291.0,1313.0,1291.0,1305.0,1305.0,557734
2023-09-12,1310.5,1318.5,1284.0,1286.0,1286.0,1210209
2023-09-13,1287.5,1306.77001953125,1281.5,1302.0,1302.0,1049203
2023-09-14,1305.5,1327.0,1299.5,1319.0,1319.0,1322796
2023-09-15,1329.5,1342.5,1319.5,1337.0,1337.0,3876999
2023-09-18,1348.5,1408.0,1346.5,1380.5,1380.5,2009301
2023-09-19,1382.5,1395.5,1370.5,1374.5,1374.5,2957309
2023-09-20,1379.0,1383.5,1356.5,1373.0,1373.0,1782175
2023-09-21,1366.0,1382.0,1361.0,1365.0,1365.0,1231227
2023-09-22,1353.0,1370.0,1347.0,1366.0,1366.0,2377967
2023-09-25,1370.5,1370.5,1342.5,1354.0,1354.0,2059713
2023-09-26,1347.5,1375.5,1346.093017578125,1364.0,1364.0,1802848
2023-09-27,1365.0,1367.5,1349.5,1354.0,1354.0,1063840
2023-09-28,1359.5,1365.5,1339.5,1364.5,1364.5,1072651
2023-09-29,1366.0,1387.5,1364.0,1372.5,1372.5,1149304
2023-10-02,1370.0,1384.0,1328.5,1359.0,1359.0,886926
2023-10-03,1349.5,1365.0,1331.5,1332.0,1332.0,1337251
2023-10-04,1323.5,1363.0,1323.0,1350.0,1350.0,1538798
2023-10-05,1360.0,1370.0,1347.5,1356.5,1356.5,991344
2023-10-06,1363.0,1377.0,1356.5,1371.0,1371.0,977602
2023-10-09,1367.0,1384.998046875,1358.5,1364.0,1364.0,1037704
2023-10-10,1379.5,1406.0,1354.0,1390.5,1390.5,2116928
